cue_file_hand,hand_x,cue_file_movement,movement_y,target_x,target_y,is_valid,correct_key,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,gender,age,primary_hand,first_cue,date,expName,psychopyVersion,frameRate,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,-0.25,hand,left,0,69,69,240,left,1,0.26471680000031483,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,0.25,none,up,0,70,70,399,up,1,0.27466330000061134,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,71,71,38,right,1,0.28681499999947846,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,72,72,130,up,1,0.6075916000008874,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,-0.5,-0.25,none,left,0,73,73,9,left,1,0.2546236999987741,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,74,74,84,left,1,0.30293819999860716,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,75,75,156,up,1,0.25209910000012314,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,-0.25,hand,down,0,76,76,221,down,1,0.24860830000034184,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,77,77,181,down,1,0.2707559000009496,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,78,78,107,left,1,0.28320540000095207,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,-0.25,none,down,0,79,79,376,down,1,0.6398454999998648,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,-0.5,0.25,movement,right,0,80,80,220,right,1,0.2967764000004536,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,0.5,-0.25,movement,down,0,81,81,235,down,1,0.2728585999993811,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,82,82,149,up,1,0.22885210000094958,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,0.5,-0.25,movement,down,0,83,83,243,down,1,0.26356399999895075,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,0.25,movement,up,0,84,84,2,up,1,0.25235179999981483,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,-0.25,hand,left,0,85,85,328,left,1,0.2505282000001898,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,86,86,75,left,1,0.2087707999999111,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,0.25,movement,up,0,87,87,265,up,1,0.2608537999985856,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,88,88,142,up,1,0.2231363999999303,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,0.25,none,up,0,89,89,14,up,1,0.43680309999945166,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,-0.25,hand,down,0,90,90,213,down,1,0.31155580000086047,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,91,91,146,up,1,0.13338409999960277,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,92,92,126,up,1,0.2790141000004951,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,-0.25,hand,left,0,93,93,320,left,1,0.29068139999981213,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,-0.25,hand,left,0,94,94,319,left,1,0.23601910000070347,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,95,95,56,right,1,0.24378059999980906,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,0.25,movement,up,0,96,96,353,up,1,0.3438229000003048,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,97,97,27,right,1,0.2196122999994259,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,-0.5,0.25,movement,right,0,98,98,276,up,0,0.21734830000059446,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,0.25,movement,right,0,99,99,318,left,0,0.31905990000086604,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,100,100,122,up,1,0.263741900000241,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,0.25,movement,up,0,101,101,305,up,1,0.30427310000050056,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,-0.25,hand,down,0,102,102,301,left,0,0.26262560000031954,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,-0.25,hand,down,0,103,103,11,down,1,0.3484666999993351,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,104,104,39,right,1,0.25060600000142585,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,105,105,171,down,1,0.23566120000032242,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,0.5,-0.25,movement,down,0,106,106,227,down,1,0.30866280000009283,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,107,107,73,left,1,0.31175980000080017,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,0.25,none,up,0,108,108,383,down,0,0.22899839999990945,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,-0.25,hand,left,0,109,109,232,left,1,0.5464911999988544,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,110,110,113,up,1,0.26132289999986824,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,-0.25,none,down,0,111,111,380,down,1,0.26435250000031374,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,0.25,hand,right,0,112,112,290,left,0,0.212760000000344,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,113,113,48,right,1,0.2676002999996854,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,0.25,hand,right,0,114,114,306,right,1,0.3772518999994645,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,0.25,movement,right,0,115,115,230,right,1,0.420756600000459,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,0.25,none,up,0,116,116,379,up,1,0.28932309999981953,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,117,117,94,left,1,0.2844033000001218,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,118,118,196,down,1,0.26127119999910065,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,0.25,movement,right,0,119,119,310,left,0,0.2629708999993454,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,120,120,189,down,1,0.3116334000005736,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,0.25,hand,right,0,121,121,314,left,0,0.2640265999998519,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,0.25,hand,right,0,122,122,274,right,1,0.35766249999869615,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,123,123,191,down,1,0.3179309999995894,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,-0.25,hand,left,0,124,124,312,left,1,0.34095040000102017,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,0.25,movement,up,0,125,125,225,up,1,0.2557323999990331,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,126,126,42,right,1,0.21801530000084313,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,0.25,movement,right,0,127,127,286,right,1,0.3273518999994849,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,-0.25,hand,down,0,128,128,293,down,1,0.31925049999881594,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,129,129,114,up,1,0.25956009999936214,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,-0.25,hand,left,0,130,130,351,left,1,0.39723979999871517,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,131,131,207,down,1,0.2562901999990572,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,-0.25,hand,left,0,132,132,216,left,1,0.27069680000022345,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,133,133,97,left,1,0.2301261999982671,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,-0.25,hand,down,0,134,134,349,down,1,0.24995570000100997,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,135,135,178,down,1,0.22395520000100078,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,136,136,10,up,1,0.20278789999974833,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,137,137,147,up,1,0.2965740999989066,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,-0.25,hand,left,0,138,138,255,left,1,0.3316146999986813,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,139,139,169,down,1,0.22628489999988233,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,0.5,-0.25,movement,down,0,140,140,251,down,1,0.44155379999938305,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,-0.25,hand,left,0,141,141,223,left,1,0.2704286999996839,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,142,142,197,down,1,0.25101469999935944,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,0.25,movement,right,0,143,143,358,left,0,0.24459350000142877,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,144,144,68,left,1,0.24716540000008536,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,145,145,140,up,1,0.09218849999888334,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,146,146,72,left,1,0.23022579999997106,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,147,147,23,right,1,0.26195539999935136,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,-0.25,hand,left,0,148,148,264,left,1,0.22347669999908248,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,-0.25,hand,down,0,149,149,237,down,1,0.2840489999998681,3,2,f,21,r,h,2021_Apr_18_1732,bd-ai,2021.1.4,59.997000149850024,
