"response.keys" "response.rt" "is_valid" "participant" "dominant_hand" "age" "gender" "target_x" "target_y" "hand_x" "movement_y"
"92" "down" 0.332 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"93" "right" 0.395 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"94" "right" 0.4 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"95" "left" 0.301 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"96" "left" 0.467 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"97" "down" 0.401 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"98" "right" 0.368 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"99" "down" 0.365 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"100" "left" 0.298 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"101" "down" 0.32 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"102" "left" 0.485 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"103" "up" 0.496 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"104" "right" 0.316 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"105" "left" 0.336 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"106" "up" 0.319 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"107" "left" 0.378 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"108" "up" 0.366 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"109" "left" 0.447 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"110" "left" 0.468 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"111" "right" 0.466 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"112" "down" 0.398 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"113" "right" 0.43 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"114" "right" 0.418 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"115" "up" 0.386 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"116" "up" 0.514 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"117" "down" 0.32 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"118" "right" 0.367 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"119" "up" 0.399 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"120" "right" 0.348 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"121" "down" 0.435 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"122" "up" 0.547 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"123" "left" 0.568 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"124" "up" 0.415 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"125" "left" 1.011 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"126" "left" 0.438 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"127" "left" 0.466 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"128" "right" 0.398 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"129" "down" 0.469 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"130" "left" 0.399 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"131" "up" 0.89 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"132" "right" 0.4 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"133" "up" 0.377 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"134" "up" 0.382 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"135" "up" 0.348 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"136" "up" 0.415 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"137" "up" 0.417 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"138" "right" 0.399 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"139" "right" 0.484 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"140" "right" 0.381 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"141" "up" 0.452 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"142" "down" 0.53 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"143" "up" 0.33 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"144" "left" 0.419 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"145" "down" 0.536 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"146" "down" 0.348 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"147" "right" 0.532 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"148" "down" 0.449 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"149" "down" 0.411 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"150" "down" 0.383 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"151" "down" 0.415 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"152" "down" 0.381 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"153" "right" 0.387 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"154" "right" 0.419 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"155" "up" 0.328 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"156" "up" 0.549 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"157" "up" 0.417 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"158" "up" 0.781 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"159" "left" 0.567 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"160" "up" 0.502 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"161" "right" 0.507 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"162" "right" 0.371 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"163" "right" 0.397 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"164" "left" 0.452 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"165" "up" 0.613 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"166" "left" 0.498 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"167" "up" 0.426 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"168" "down" 0.384 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"169" "up" 0.381 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"170" "down" 0.422 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"171" "up" 0.365 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"172" "right" 0.345 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"173" "right" 0.401 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"174" "right" 0.363 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"175" "left" 0.412 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"176" "right" 0.398 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"177" "right" 0.366 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"178" "down" 0.398 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"179" "right" 0.367 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"180" "up" 0.319 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"181" "right" 0.321 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"182" "right" 0.399 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"183" "up" 0.397 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"184" "left" 0.371 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"185" "right" 0.446 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"186" "right" 0.683 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"187" "left" 0.429 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"188" "right" 0.376 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"189" "left" 0.53 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"190" "left" 0.397 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"191" "up" 0.868 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"192" "left" 0.364 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
